C:\Users\Johannes\PycharmProjects\kaggle-calories_2025-5\.venv\Scripts\python.exe C:\Users\Johannes\PycharmProjects\kaggle-calories_2025-5\feature_selection\fs1_xgb_autofe.py
df_train_features.shape=(750000, 221)
len(FEATURES_ALREADY_FOUND)=0
Starting Forward Feature Selection.
Original Features (always selected): ['Sex', 'Age', 'Height', 'Weight', 'Duration', 'Heart_Rate', 'Body_Temp']
Initial features to select: []
Initial features to discard: []
Scoring baseline model
Baseline score: -0.06312 ((750000, 7)) (6.97s)
Round 1/25
83 /220 Feature Divide_Heart_Rate_Body_Temp                                                                    : score -0.06409 ((750000, 8))
84 /220 Feature GroupByThenRank_Duration_Heart_Rate                                                            : score -0.06332 ((750000, 8))
85 /220 Feature CombineThenFreq_Sex_Heart_Rate                                                                 : score -0.06392 ((750000, 8))
86 /220 Feature Plus_Weight_Duration                                                                           : score -0.06252 ((750000, 8))
87 /220 Feature Minus_Age_Body_Temp                                                                            : score -0.06342 ((750000, 8))
88 /220 Feature Divide_Sex_Height                                                                              : score -0.06316 ((750000, 8))
89 /220 Feature Minus_Weight_Duration                                                                          : score -0.06330 ((750000, 8))
90 /220 Feature Minus_Duration_Body_Temp                                                                       : score -0.06351 ((750000, 8))
91 /220 Feature Plus_Age_Duration                                                                              : score -0.06265 ((750000, 8))
92 /220 Feature Combine_Height_Weight                                                                          : score -0.07178 ((750000, 8))
93 /220 Feature GroupByThenMean_Height_Body_Temp                                                               : score -0.06468 ((750000, 8))
94 /220 Feature Multiply_Sex_Height                                                                            : score -0.06291 ((750000, 8))
95 /220 Feature Plus_Duration_Heart_Rate                                                                       : score -0.06320 ((750000, 8))
96 /220 Feature Plus_Weight_Heart_Rate                                                                         : score -0.06319 ((750000, 8))
97 /220 Feature CombineThenFreq_Sex_Age                                                                        : score -0.06464 ((750000, 8))
98 /220 Feature Divide_Height_Duration                                                                         : score -0.06614 ((750000, 8))
99 /220 Feature Plus_Age_Height                                                                                : score -0.06605 ((750000, 8))
100/220 Feature Multiply_Height_Weight                                                                         : score -0.06407 ((750000, 8))
101/220 Feature GroupByThenRank_Age_Weight                                                                     : score -0.06326 ((750000, 8))
