C:\Users\Johannes\PycharmProjects\kaggle-calories_2025-5\.venv\Scripts\python.exe C:\Users\Johannes\PycharmProjects\kaggle-calories_2025-5\feature_selection\fs11_map_original_dataset_targets_min_nunique_from_fc8_fc9.py
df_train_features.shape=(750000, 254)
len(FEATURES_ALREADY_FOUND)=0
Starting Forward Feature Selection.
Original Features (always selected): ['Sex', 'Age', 'Height', 'Weight', 'Duration', 'Heart_Rate', 'Body_Temp']
Initial features to select: []
Initial features to discard: []
Scoring baseline model
Baseline score: 0.05958 ((750000, 7)) (15.12s)
Round 0
0  /253 Feature map_orig_targets_min_Age_Body_Temp                                                             : score 0.05957 (-0.00001)
106/253 Feature map_orig_targets_min_Sex_Height_Weight_Duration                                                : score 0.05965 (0.00007)
107/253 Feature map_orig_targets_min_Sex_Height_Weight_Heart_Rate_Body_Temp                                    : score 0.05960 (0.00002)
108/253 Feature map_orig_targets_min_Sex_Height_Weight_Heart_Rate                                              : score 0.05952 (-0.00006)
109/253 Feature map_orig_targets_min_Sex_Height_Weight                                                         : score 0.05964 (0.00006)
110/253 Feature map_orig_targets_min_Sex                                                                       : score 0.05955 (-0.00003)
111/253 Feature map_orig_targets_min_Sex_Weight_Body_Temp                                                      : score 0.05960 (0.00002)
112/253 Feature map_orig_targets_min_Sex_Weight_Duration_Body_Temp                                             : score 0.05961 (0.00003)
113/253 Feature map_orig_targets_min_Sex_Weight_Duration_Heart_Rate_Body_Temp                                  : score 0.05956 (-0.00002)
114/253 Feature map_orig_targets_min_Sex_Weight_Duration_Heart_Rate                                            : score 0.05960 (0.00002)
115/253 Feature map_orig_targets_min_Sex_Weight_Duration                                                       : score 0.05958 (-0.00000)
116/253 Feature map_orig_targets_min_Sex_Weight_Heart_Rate_Body_Temp                                           : score 0.05956 (-0.00002)
117/253 Feature map_orig_targets_min_Sex_Weight_Heart_Rate                                                     : score 0.05961 (0.00003)
118/253 Feature map_orig_targets_min_Sex_Weight                                                                : score 0.05961 (0.00003)
119/253 Feature map_orig_targets_min_Weight_Body_Temp                                                          : score 0.05965 (0.00007)
120/253 Feature map_orig_targets_min_Weight_Duration_Body_Temp                                                 : score 0.05958 (0.00000)
121/253 Feature map_orig_targets_min_Weight_Duration_Heart_Rate_Body_Temp                                      : score 0.05958 (0.00000)
122/253 Feature map_orig_targets_min_Weight_Duration_Heart_Rate                                                : score 0.05957 (-0.00001)
123/253 Feature map_orig_targets_min_Weight_Duration                                                           : score 0.05962 (0.00004)
124/253 Feature map_orig_targets_min_Weight_Heart_Rate_Body_Temp                                               : score 0.05956 (-0.00002)
125/253 Feature map_orig_targets_min_Weight_Heart_Rate                                                         : score 0.05971 (0.00013)
126/253 Feature map_orig_targets_min_Weight                                                                    : score 0.05961 (0.00003)
127/253 Feature map_orig_targets_nunique_Age_Body_Temp                                                         : score 0.05963 (0.00005)
128/253 Feature map_orig_targets_nunique_Age_Duration_Body_Temp                                                : score 0.05958 (0.00000)
129/253 Feature map_orig_targets_nunique_Age_Duration_Heart_Rate_Body_Temp                                     : score 0.05955 (-0.00003)
130/253 Feature map_orig_targets_nunique_Age_Duration_Heart_Rate                                               : score 0.05953 (-0.00005)
131/253 Feature map_orig_targets_nunique_Age_Duration                                                          : score 0.05963 (0.00005)
132/253 Feature map_orig_targets_nunique_Age_Heart_Rate_Body_Temp                                              : score 0.05957 (-0.00001)
